bill_id,title,description
1839073,School employees: transfer of leave of absence for illness or injury.,"An act to amend Sections 44979, 44980, 44982, and 45202 of the Education Code, relating to school employees."
1839074,Public works contracts: wage and penalty assessment.,"An act to amend Section 1741 of the Labor Code, relating to public works contracts."
1839075,Controlled substances: analyzing and testing.,"An act to amend Sections 11014.5, 11364, 11364.5, and 11364.7 of, and to add Article 5 (commencing with Section 11300) to Chapter 5 of Division 10 of, the Health and Safety Code, relating to controlled substances."
1839076,Homeless and foster youth.,"An act to amend Sections 42921, 52062, 52064, and 52068 of the Education Code, relating to homeless and foster youth."
1839077,Peace officers: tribal police pilot project.,"An act to add and repeal Sections 830.83 and 832.55 of, and to add and repeal Article 2.45 (commencing with Section 11073) of Chapter 1 of Title 1 of Part 4 of, the Penal Code, relating to peace officers."
1839082,Fairs.,"An act to amend Sections 19542, 19547, 19601.4, 19606.1, and 19614 of, to repeal Sections 19418.1, 19418.2, 19418.3, 19418.5, 19616.52, 19620, 19620.1, 19620.15, 19620.2, 19621, 19621.1, 19622, 19622.1, 19622.2, 19622.3, 19623, 19627.5, 19628, 19629, 19630, 19631, 19632, 19636, 19637, and 19638 of, and to repeal and add Section 19418 of, the Business and Professions Code, to amend Section 1352 of the Fish and Game Code, to amend Sections 3200, 4003, 4060, 4202, 4534, 4701, and 24013.5 of, to amend the heading of Chapter 3 (commencing with Section 3200) of Part 1 of Division 3 of, to add Sections 3201, 3202, 3203, 3204, 3205, 3206, 3207, 3208, 3209, 3210, 3211, 3212, 3213, 3214, 3215, 3216, 3217, 3218, 3219, 3220, 3221, 3222, 3223, and 3224 to, to add Article 3.7 (commencing with Section 4165) to Chapter 6 of Part 3 of Division 3 of, to repeal Sections 4210, 4651, and 4652 of, to repeal Chapter 2 (commencing with Section 3851) of Part 3 of Division 3 of, and to repeal and add Chapter 2 (commencing with Section 3101) of Part 1 of Division 3 of, the Food and Agricultural Code, to amend Sections 6546, 25903, and 25906 of, and to repeal Section 13083 of, the Government Code, to amend Sections 27575 and 27575.1 of the Penal Code, to amend Sections 5096.339 and 80074 of the Public Resources Code, and to amend Section 605 of the Unemployment Insurance Code, relating to fairs, and making an appropriation therefor."
1839083,General plan: annual report.,"An act to amend Section 65400 of the Government Code, relating to housing."
1839085,Product safety: recreational water safety: wearable personal flotation devices: infants and children.,"An act to add Article 4 (commencing with Section 116023) to Chapter 5 of Part 10 of Division 104 of the Health and Safety Code, relating to product safety."
1839087,Professional fiduciaries.,"An act to amend Sections 146 and 6501 of, and to add Section 6544 to, the Business and Professions Code, and to amend Sections 60.1, 1510, 1821, 2250, 2614.7, 2643.1, and 15604 of, to add Part 9.5 (commencing with Section 310) to Division 2 of, and to repeal Article 4 (commencing with Section 2340) of Chapter 4 of Part 4 of Division 4 of, the Probate Code, relating to professional fiduciaries."
1839088,Gates: standards: inspection.,"An act to amend Section 3496 of, and to add Part 5.6 (commencing with Section 7110) to Division 4 of, the Civil Code, relating to civil law."
1839093,Mental health: involuntary treatment.,"An act to add Section 5325.4 to the Welfare and Institutions Code, relating to mental health."
1839098,Common interest developments: association governance: elections.,"An act to amend Sections 5105, 5110, 5115, 5120, 5125, 5200, and 5260 of the Civil Code, relating to common interest developments."
1839100,The Early Psychosis Intervention Plus Program.,"An act to add Sections 5835.6 and 5835.7 to the Welfare and Institutions Code, relating to behavioral health."
1839103,Physicians and surgeons: licensure requirements: disclosure.,"An act to amend Section 2425 of, and to add Section 2090 to, the Business and Professions Code, relating to healing arts."
1839104,Pupil instruction: financial aid application.,"An act to amend Section 51225.7 of the Education Code, relating to pupil instruction."
1839105,Barbering and cosmetology: hair types and textures.,"An act to amend Sections 7338, 7362.5, and 7363 of the Business and Professions Code, relating to professions and vocations."
1839106,Unemployment insurance: disability: paid family leave.,"An act to amend Section 2707.2, to amend, repeal, and add Sections 2701.5, 2706.1, 3301, and 3304 of, and to add Section 3303.2 to, the Unemployment Insurance Code, relating to unemployment insurance."
1840383,Prescription drug coverage: dose adjustments.,"An act to add Section 1367.225 to the Health and Safety Code, and to add Section 10123.1934 to the Insurance Code, relating to health care coverage."
1840386,Irrigation districts: Imperial Irrigation District: electricity: assessment and inventory of assets.,"An act to add and repeal Section 22125 of the Water Code, relating to the Imperial Irrigation District."
1840388,Alcoholic beverages: beer caterer’s permit.,"An act to amend Section 23320 of, and to add Section 23399.01 to, the Business and Professions Code, relating to alcoholic beverages."
1840390,Juvenile court schools: chronic absenteeism rates.,"An act to amend Sections 2200 and 2200.5 of the Welfare and Institutions Code, relating to juveniles."
1840392,Prisons: bed thresholds.,"An act to add Section 2069 to the Penal Code, relating to prisons."
1840395,Juvenile court school pupils: graduation requirements and continued education options.,"An act to amend Sections 48645.5 and 48645.7 of the Education Code, relating to juvenile court school pupils."
1840396,Public works.,"An act to amend Sections 1742 and 1773.1 of, to amend, repeal, and add Section 1773.6 of, and to add Sections 1771.2.1 and 1776.2 to, the Labor Code, relating to public works."
1840400,Vehicles: impoundment.,"An act to amend Section 23109.2 of the Vehicle Code, relating to vehicles."
1840406,Public agencies: cost accounting standards.,"An act to amend Sections 22002, 22032, 22034, 22039, 22042, 22042.5, 22043, and 22044 of the Public Contract Code, relating to public contracts."
1840407,Hazing: educational institutions: prohibition and civil liability: reports and resources.,"An act to add Section 32051 to, and to add Chapter 5.1 (commencing with Section 66305) to Part 40 of Division 5 of Title 3 of, the Education Code, relating to hazing."
1840408,Physician assistants: supervision: doctors of podiatric medicine.,"An act to amend Section 3502 of the Business and Professions Code, relating to healing arts."
1840410,Beaver restoration.,"An act to add Article 2 (commencing with Section 4030) to Chapter 2 of Part 3 of Division 4 of the Fish and Game Code, relating to beaver."
1840412,Health information.,"An act to amend Section 1374.196 of, and to add Section 1374.1965 to, the Health and Safety Code, and to amend Section 10133.12 of, and to add Section 10133.125 to, the Insurance Code, relating to health care."
1840413,California Environmental Quality Act: exemption: residential or mixed-use housing projects.,"An act to amend Section 21159.25 of the Public Resources Code, relating to environmental quality."
1840416,Short-term rentals: disclosure: cleaning tasks.,"An act to amend Section 17568.6 of the Business and Professions Code, relating to short-term rentals."
1840417,Ticket sellers: electronic tickets.,"An act to add Chapter 21.2 (commencing with Section 22513) to Division 8 of the Business and Professions Code, relating to ticket sellers."
1840421,State boards and commissions: representatives of older adults.,"An act to amend Sections 1568.17 and 128250 of the Health and Safety Code, to amend Section 14012 of the Unemployment Insurance Code, and to amend Sections 5771, 5845, and 8257 of the Welfare and Institutions Code, relating to public health."
1840428,Ocean Protection Council: microplastics.,"An act to add and repeal Section 35636 of the Public Resources Code, relating to pollution."
1840429,Criminal procedure: arrests.,"An act to amend Section 849 of the Penal Code, relating to criminal procedure."
1840430,Tenancy: common household pets.,"An act to amend Section 1950.5 of, and to add Section 1940.42 to, the Civil Code, relating to housing."
1840437,Cannabis: industrial hemp.,"An act to add Section 26003 to the Business and Professions Code, to amend Sections 110065, 111920, 111921, 111921.7, 111922, 111923.3, and 111926.2 of, to add Section 111923.6 to, to add Article 11 (commencing with Section 111930) to Chapter 9 of Part 5 of Division 104 of, and to repeal Section 111923.9 of, the Health and Safety Code, and to amend Section 34016 of the Revenue and Taxation Code, relating to cannabis."
1840438,Special immigrant juvenile status: court orders and guardianship.,"An act to amend Section 155 of the Code of Civil Procedure, and to amend Sections 1510.1 and 1514 of the Probate Code, relating to special immigrant juveniles."
1840439,Discovery: prehospital emergency medical care person or personnel review committees.,"An act to amend Section 1157 of the Evidence Code, relating to evidence."
1840440,Elementary education: kindergarten.,"An act to amend, repeal, and add Sections 48010 and 48011 of, and to add Section 48001 to, the Education Code, relating to kindergarten."
1840442,Collateral recovery: notice.,"An act to amend Sections 7507.9 and 7507.10 of the Business and Professions Code, relating to collateral recovery."
1840443,California Healthy Youth Act: menstrual health education.,"An act to amend Section 51931 of the Education Code, relating to pupil instruction."
1841925,Pawnbrokers: education.,"An act to amend, repeal, and add Section 21300 of, to add and repeal Section 21303.5 of, and to add and repeal Chapter 4 (commencing with Section 21400) of Division 8 of, the Financial Code, relating to pawnbrokers."
1841928,Vehicles: electric bicycles.,"An act to add and repeal Section 21214.7 of the Vehicle Code, relating to vehicles."
1841929,Public contracts: local agencies: wind infrastructure.,"An act to add Chapter 4.8 (commencing with Section 22190) to Part 3 of Division 2 of the Public Contract Code, relating to public contracts."
1841930,Solid waste: reusable grocery bags: standards: plastic film prohibition.,"An act to amend and repeal Sections 42281, 42281.5, 42282, and 42282.1 of, to amend, repeal, and add Sections 42280, 42283, 42283.5, and 42284 of, and to repeal Section 42283.6 of, the Public Resources Code, relating to solid waste."
1841931,Children and youth: transfer of specialty mental health services.,"An act to add Section 14716.5 to the Welfare and Institutions Code, relating to Medi-Cal."
1841932,Franchise Tax Board: membership.,"An act to amend, repeal, and add Section 15700 of the Government Code, relating to tax administration."
1841933,Digital discrimination of access: prohibition.,"An act to add Title 15.6 (commencing with Section 3130) to Part 4 of Division 3 of the Civil Code, relating to communications."
1841934,Farm labor centers: migratory agricultural workers.,"An act to amend Section 50710.1 of, to add Sections 50710.3, 50710.6, and 50710.7 to, to repeal Section 50716 of, and to repeal and add Section 36069 of, the Health and Safety Code, relating to housing."
1841937,Affordable Housing and High Road Jobs Act of 2022: objective standards and affordability and site criteria.,"An act to amend Sections 65912.101, 65912.111, 65912.112, 65912.113, 65912.114, 65912.121, 65912.122, 65912.123, and 65912.124 of, and to add Section 65912.106 to, the Government Code, relating to housing."
1841938,Product safety: proofs of purchase: intentionally added bisphenols.,"An act to add Chapter 12.3 (commencing with Section 108943) to Part 3 of Division 104 of the Health and Safety Code, relating to product safety."
1841939,Certificated school employees: permanent status: regional occupational centers or programs.,"An act to amend, repeal, and add Section 44910 of the Education Code, relating to school employees."
1841940,Medical Practice Act: health care providers: qualified autism service paraprofessionals.,"An act to amend Section 2290.5 of the Business and Professions Code, relating to healing arts."
1841941,Mobilehome Parks Act: enforcement: notice of violations: Manufactured Housing Opportunity and Revitalization (MORE) Program: annual fee.,"An act to amend Sections 18400.1, 18420, 18424, and 18502 of the Health and Safety Code, relating to mobilehomes."
1841942,Contracts: sales of dogs and cats.,"An act to add Section 1670.13 to the Civil Code, relating to contracts."
1841943,Elections: retention of election records.,"An act to amend Sections 17300, 17301, 17302, 17303, 17304, 17305, and 17306 of, and to add Section 17504 to, the Elections Code, relating to elections."
1841944,Social determinants of health: screening and outreach.,"An act to add Section 1367.37 to the Health and Safety Code, to add Section 10123.52 to the Insurance Code, and to add Section 14132.14 to the Welfare and Institutions Code, relating to health."
1841945,Graduation requirements: local requirements: exemptions.,"An act to amend Section 51225.3 of the Education Code, relating to pupil instruction."
1841948,Charter schools: renewal criteria.,"An act to amend Section 47607 of, and to amend and repeal Section 47607.2 of, the Education Code, relating to charter schools."
1841951,Local government: property-related water and sewer fees and assessments: remedies.,"An act to add Sections 53759.1 and 53759.2 to the Government Code, relating to local government."
1841952,Health care coverage: cost sharing.,"An act to amend Section 1367.002 of the Health and Safety Code, and to amend Section 10112.2 of the Insurance Code, relating to health care coverage."
1841953,Transportation: bicycle safety handbook.,"An act to add Section 13978.5 to the Government Code, relating to transportation."
1841954,California FAIR Plan Association.,"An act to amend Section 10095 of, and to add Section 10095.2 to, the Insurance Code, relating to insurance."
1841956,Small business.,"An act to amend Section 12098.3 of the Government Code, and to add Chapter 2.7 (commencing with Section 22060) to Part 3 of Division 2 of the Public Contract Code, relating to small business."
1841957,The California Guaranteed Income Study and Funding Act.,"An act to add Chapter 15.9 (commencing with Section 18996.9) to Part 6 of Division 9 of the Welfare and Institutions Code, relating to public social services."
1841963,Board membership qualifications: public members.,"An act to amend Section 450 of the Business and Professions Code, relating to professions and vocations."
1841964,Healing arts: continuing education: menopausal mental or physical health.,"An act to amend Sections 2191, 2811.5, 3524.5, 4980.54, 4989.34, 4996.22, and 4999.76 of, and to add Section 2914.4 to, the Business and Professions Code, relating to healing arts."
1841965,St. Rose Hospital.,"An act relating to the St. Rose Hospital, and declaring the urgency thereof, to take effect immediately."
1841970,Forestry: timber harvesting plans: exemptions.,"An act to amend Sections 4584, 4584.1, 4584.2, and 4589 of the Public Resources Code, and to amend Section 399.20.3 of the Public Utilities Code, relating to forestry."
1841971,Community colleges: part-time faculty.,"An act to amend Sections 87482.3 and 87482.5 of the Education Code, relating to community colleges."
1841972,Rent increases: percentage change in the cost of living: Department of Housing and Community Development.,"An act to amend Section 1947.12 of the Civil Code, relating to tenancies."
1841973,Missing and Murdered Indigenous Persons Justice Program.,"An act to add Section 15008 to the Government Code, relating to state government."
1841975,Tribal judges.,"An act to amend Section 2166.7 of the Elections Code, to amend Section 217.1 of the Penal Code, and to amend Section 1808.4 of the Vehicle Code, relating to public officials."
1841976,Family reunification services.,"An act to amend Sections 361.5 of the Welfare and Institutions Code, relating to juveniles."
1841978,County employees’ retirement: compensation.,"An act to amend Section 31461 of the Government Code, relating to retirement."
1841979,Natural resources: equitable outdoor access: 30x30 goal: urban nature-based projects.,"An act to add Section 1004 to the Public Resources Code, relating to natural resources."
1841980,Vehicles: autonomous vehicles.,"An act to amend Section 38750 of, and to add Sections 38751 and 38752 to, the Vehicle Code, relating to vehicles."
1841983,Vehicles: parking placards and special license plates for disabled veterans and persons with disabilities.,"An act to amend, repeal, and add Sections 295.5, 5007, 22511.55, and 22511.59 of the Vehicle Code, relating to vehicles."
1845057,Transportation: Class III bikeways: bicycle facilities: Bikeway Quick-Build Project Pilot Program.,"An act to amend Sections 2030 and 2384 of, and to add Section 91.3 to, the Streets and Highways Code, relating to transportation."
1845058,Mobilehomes.,"An act to amend Section 18803 of the Health and Safety Code, relating to mobilehomes."
1845059,Electrical transmission facilities: certificates of public convenience and necessity.,"An act to repeal Section 1002.3 of the Public Utilities Code, relating to electricity."
1845060,Joint powers agreements: health care services.,"An act to add and repeal Section 6538.6 of the Government Code, relating to joint powers."
1845062,Crimes: commencement of prosecution.,"An act to amend Section 801.1 of the Penal Code, relating to crimes."
1845064,Hospital and Emergency Physician Fair Pricing Policies.,"An act to amend Sections 127400, 127401, 127405, 127425, 127435, 127436, 127440, 127450, 127452, and 127455 of, and to add Section 127400.5 to, the Health and Safety Code, relating to health care."
1845065,Coastal resources: Protecting Blue Whales and Blue Skies Program.,"An act to add Chapter 3.3 (commencing with Section 35640) to Division 26.5 of the Public Resources Code, relating to coastal resources."
1845067,Medical devices: Di-(2-ethylhexyl) phthalate (DEHP).,"An act to add Chapter 18 (commencing with Section 109050) to Part 3 of Division 104 of the Health and Safety Code, relating to product safety."
1845069,Open meetings: local agencies: teleconferences.,"An act to amend Section 54953 of the Government Code, relating to local government."
1845071,Unlawful detainer: case records.,"An act to amend Section 1161.2 of the Code of Civil Procedure, relating to civil actions."
1845072,Public postsecondary education: community colleges: statewide baccalaureate degree program.,"An act to amend Section 78042 of the Education Code, relating to public postsecondary education."
1845075,Domestic violence: protective orders.,"An act to amend Section 273.5 of the Penal Code, relating to protective orders."
1845076,City attorney: state law: misdemeanor.,"An act to amend Section 41803.5 of the Government Code, relating to local government."
1845077,Parole hearings: language access.,"An act to add Section 3041.8 to the Penal Code, relating to parole."
1845078,Greenhouse Gas Reduction Fund: grant program: edible food.,"An act to amend Section 42999 of the Public Resources Code, relating to greenhouse gases."
1845080,Farmer Equity Act of 2017: Regional Farmer Equipment and Cooperative Resources Assistance Pilot Program.,"An act to add and repeal Section 515 of the Food and Agricultural Code, relating to agriculture."
1845083,Pupil nutrition: substances: prohibition.,"An act to amend Sections 49431, 49431.2, 49431.5, 49501.5, and 49531 of the Education Code, relating to pupil nutrition."
1845084,Child day care facilities: anaphylactic policy.,"An act to add Section 1596.7985 to the Health and Safety Code, relating to child day care facilities."
1845085,State Water Pollution Cleanup and Abatement Account: receipts and expenditures: report.,"An act to add Section 13444 to the Water Code, relating to water."
1845086,California Dignity in Pregnancy and Childbirth Act.,"An act to amend Sections 123630.1, 123630.2, and 123630.3 of, and to add Sections 123630.6 and 123630.7 to, the Health and Safety Code, relating to maternal health."
1845087,Wildlife Connectivity and Climate Adaptation Act of 2024: wildlife corridors: fish passage.,"An act to amend Sections 1301, 1930.2, and 1930.5 of, and to add Section 1346.5 to, the Fish and Game Code, and to amend Sections 71450 and 71452 of the Public Resources Code, relating to wildlife corridors."
1845089,Grant programs: administration.,"An act to add Chapter 5.7 (commencing with Section 8415) to Division 1 of Title 2 of the Government Code, relating to state government."
1845090,Native American tribes: ethnohistory: report.,"An act to add Section 5097.941 to the Public Resources Code, relating to Native American tribes."
1845091,Avocados: sale or donation by the Secretary of Agriculture.,"An act to amend Section 45040 of the Food and Agricultural Code, relating to food and agriculture."
1845093,"Equity in Higher Education Act: discrimination: compliance, regulations, and reports.","An act to amend Sections 66292, 66292.1, and 66292.2 of the Education Code, relating to public postsecondary education."
1845094,Optometry: mobile optometric offices.,"An act to amend Section 3070.2 of the Business and Professions Code, relating to healing arts."
1845097,Endangered species: incidental take: wildfire preparedness activities.,"An act to add Article 3.6 (commencing with Section 2089.01) to Chapter 1.5 of Division 3 of the Fish and Game Code, relating to fish and wildlife."
1845098,Voluntary carbon market disclosures.,"An act to amend Sections 44475, 44475.1, 44475.2, and 44475.3 of the Health and Safety Code, relating to carbon offsets."
1845100,State highways: airspace leases: report.,"An act to amend Section 104.12 of the Streets and Highways Code, relating to state highways."
1845102,Public employment: compensation and classification.,"An act to amend Sections 18500, 19797, 19826, and 19827.2 of the Government Code, relating to public employment."
1845104,Workers’ compensation: electronic signatures.,"An act to amend Sections 17 and 5003 of the Labor Code, relating to workers’ compensation."
1845105,Statewide Homelessness Coordinator.,"An act to add Chapter 1.3 (commencing with Section 12095) to Part 2 of Division 3 of Title 2 of the Government Code, relating to homelessness."
1845106,Medi-Cal: telehealth.,"An act to amend Section 14132.725 of the Welfare and Institutions Code, relating to Medi-Cal."
1845107,Medi-Cal: EPSDT services: informational materials.,"An act to add Article 4.12 (commencing with Section 14149.95) to Chapter 7 of Part 3 of Division 9 of the Welfare and Institutions Code, relating to Medi-Cal."
1845110,CalWORKs: childcare programs.,"An act to add Section 10372.3 to the Welfare and Institutions Code, relating to public social services."
1845113,Organic waste reduction regulations: procurement of recovered organic waste products.,"An act to amend Section 42652.5 of the Public Resources Code, relating to solid waste."
1845114,Summary proceedings for obtaining possession of real property: procedural requirements.,"An act to amend Sections 1167 and 1170 of the Code of Civil Procedure, relating to summary proceedings."
1845115,Emergency medical services.,"An act to amend Sections 1797.103, 1797.120, 1797.225, and 1797.254 of, and to add Sections 1797.235 and 1797.255 to, the Health and Safety Code, relating to emergency medical services."
1845116,Public postsecondary education: Cal-Bridge Program.,"An act to add Article 4.95 (commencing with Section 66048) to Chapter 2 of Part 40 of Division 5 of Title 3 of the Education Code, relating to public postsecondary education."
1845117,Open meetings: school boards: emergencies: notifications by email.,"An act to amend Section 54956.5 of the Government Code, relating to open meetings."
1845119,Mental health and psychiatric advance directives.,"An act to amend Sections 1302.5, 1800.3, 1836, 2356, 3211, 4672, 4673, 4674, 4676, 4677, 4679, 4695, 4696, 4698, 4701, 4731, 4740, 4742, 4750, 4800, 4802, 4803, 4804, 4805, and 4806 of, to amend the heading of Chapter 1 (commencing with Section 4670) of Part 2 of Division 4.7 of, and to add Section 4634 to, the Probate Code, and to amend Sections 391, 5008, 5150, 5346, 5350, 5354, 5585.20, 5971, 5977.3, 5980, 5981, 16501.1, and 21001 of, and to add Section 5845.6 to, the Welfare and Institutions Code, relating to health care decisions."
1845120,Property taxation: welfare exemption: delinquent payments: interest and penalties.,"An act to add Section 4985.05 to the Revenue and Taxation Code, relating to taxation."
1845122,Political Reform Act of 1974: political advertisements: artificial intelligence.,"An act to add Section 84514 to the Government Code, relating to the Political Reform Act of 1974."
1845124,University of California: school of medicine: University of California Kern County Medical Education Endowment Fund.,"An act to add Article 6.6 (commencing with Section 92168) to Chapter 2 of Part 57 of Division 9 of Title 3 of the Education Code, relating to the University of California."
1845126,Alcoholic beverage control: neighborhood-restricted special on-sale general licenses.,"An act to amend Section 23826.13 of the Business and Professions Code, relating to alcoholic beverages."
1845127,Developmental services: family services: counseling.,"An act to add Section 4685.2 to the Welfare and Institutions Code, relating to developmental services."
1845131,Property service worker protection.,"An act to amend Sections 1420, 1429, 1429.5, and 1430 of, and to add Section 1435 to, the Labor Code, relating to employment."
1845132,Public health: kratom.,"An act to add Article 16 (commencing with Section 111224.8) to Chapter 5 of Part 5 of Division 104 of the Health and Safety Code, relating to public health."
1845135,System reliability and outages.,"An act to amend Sections 345, 349, 380, and 454.52 of the Public Utilities Code, relating to electricity."
1845138,Electrified security fences.,"An act to amend, repeal, and add Section 835 of the Civil Code, relating to electrified security fences, and declaring the urgency thereof, to take effect immediately."
1845140,Mobilehomes: tenancies.,"An act to amend Section 798.56 of the Civil Code, relating to mobilehomes."
1845141,Displaced janitors.,"An act to amend Sections 1060, 1061, and 1062 of the Labor Code, relating to employment."
1845142,Alcoholic beverages: on-sale general public premises: drink lids.,"An act to amend Section 25624 of, and to add and repeal Section 25625 of, the Business and Professions Code, relating to alcoholic beverages."
1845143,Chemical dependency recovery hospitals.,"An act to amend Section 1250.3 of the Health and Safety Code, relating to health facilities."
1845144,Pupil instruction: physical education: accommodation: religious fasting.,"An act to amend Sections 51210, 51222, and 51223 of, and to add Section 51240.5 to, the Education Code, relating to pupil instruction."
1845145,Alcoholic beverage control: licensing exemption: apprenticeship program for bartending or mixology.,"An act to amend Section 23399.5 of the Business and Professions Code, relating to alcoholic beverages."
1845148,California state preschool programs: reimbursement rates.,"An act to amend Section 8242 of the Education Code, relating to childcare."
1845150,State Department of Developmental Services: training programs for care management professionals.,"An act to add Section 1262.3 to the Health and Safety Code, and to add Section 4511.2 to the Welfare and Institutions Code, relating to developmental services."
1845154,Mobilehome parks: additional lots: exemption from additional fees or charges.,"An act to add Section 65852.8 to the Government Code, relating to mobilehome parks."
1845155,Information Practices Act of 1977: personal information.,"An act to amend Sections 1798.3 and 1798.60 of the Civil Code, relating to personal information."
1845156,Alcoholic beverages: on-sale general - eating place and on-sale general public premises: drug reporting.,"An act to add Section 25624.5 to the Business and Professions Code, relating to alcoholic beverages."
1845162,"California State University: extension programs, special session, and self-supporting instructional programs: revenues.","An act to amend Sections 89704 and 89721 of the Education Code, relating to the California State University, and making an appropriation therefor."
1845165,California State University: audits.,"An act to add Section 89045.5 to the Education Code, relating to the California State University."
1845166,Mobilehome park residences: rental agreements: Mobilehome Residency Law Protection Program.,"An act to amend Section 798.15 of the Civil Code, relating to mobilehomes."
1845168,Clean Cars 4 All Program.,"An act to amend Sections 44124.5, 44125.5, and 44127 of, and to add Section 44128 to, the Health and Safety Code, relating to air pollution."
1845169,Drink spiking.,"An act to amend Section 25681 of the Business and Professions Code, relating to alcoholic beverages."
1845170,Community colleges: student equity plan.,"An act to amend Section 78220 of the Education Code, relating to community colleges."
1845174,Public postsecondary educational institutions: sexual harassment complaints: state audits.,"An act to add and repeal Sections 67382.1 and 67382.2 of the Education Code, relating to public postsecondary education."
1845175,Firefighter personal protective equipment: perfluoroalkyl and polyfluoroalkyl substances.,"An act to amend Section 13029 of the Health and Safety Code, and to amend Section 147.4 of the Labor Code, relating to occupational safety."
1845177,Meal program: senior citizens.,"An act to amend Section 18327 of the Welfare and Institutions Code, relating to nutrition."
1846133,Residential property insurance: wildfire risk.,"An act to add Article 5 (commencing with Section 2095) to Chapter 2 of Part 1 of Division 2 of the Insurance Code, relating to insurance."
1846136,Search warrants: child prostitution.,"An act to amend Section 1524 of the Penal Code, relating to crimes."
1846138,Employer-employee relations: confidential communications.,"An act to amend Sections 3506.5, 3519, 3524.71, 3543.5, and 3571 of the Government Code, and to amend Sections 28858, 98169, 99563.7, and 102406 of the Public Utilities Code, relating to employer-employee relations."
1846139,Department of Financial Protection and Innovation: online resources: financial abuse: domestic violence victims.,"An act to add Chapter 11 (commencing with Section 900) to Division 1 of the Financial Code, relating to financial institutions."
1846140,Developmental services: rates.,"An act to add Section 4519.11 to the Welfare and Institutions Code, relating to developmental services."
1846141,Mortgages: foreclosure.,"An act to amend Sections 2923.5, 2923.55, and 2924f of, and to add Section 2932.2 to, the Civil Code, relating to real property."
1846143,Consumer protection: false advertising: digital goods.,"An act to add Section 17500.6 to the Business and Professions Code, relating to consumer protection."
1846144,Electric vehicle charging stations: permitting: curbside charging.,"An act to amend Section 12100.151 of, and to add Section 65850.72 to, the Government Code, relating to land use."
1846145,Medi-Cal: Community-Based Adult Services.,"An act to amend Section 14184.201 of the Welfare and Institutions Code, relating to Medi-Cal."
1846147,Planning and zoning: density bonuses: monitoring fees.,"An act to amend Section 65915 of the Government Code, relating to land use."
1846149,Corporations: criminal enhancements.,"An act to amend Section 1202.4 of, to add Section 1398 to, and to add Article 5 (commencing with Section 13839) to Chapter 4 of Title 6 of Part 4 of, the Penal Code, relating to crime, and making an appropriation therefor."
1846150,California Private Permitting Review and Inspection Act: fees: building permits.,"An act to amend Section 17951 of, and to add Section 17960.3 to, the Health and Safety Code, relating to building standards."
1846151,Health care coverage: multiple employer welfare arrangements.,"An act to add and repeal Section 1357.505 of the Health and Safety Code, relating to health care coverage."
1846152,California Health Benefit Exchange.,"An act to amend Section 100504 of the Government Code, relating to health care coverage."
1846153,Cattle: inspections: fees.,"An act to amend Sections 21283, 21283.5, 21285, 21288, 21288.5, 21290.5, 21563, and 21563.5 of the Food and Agricultural Code, relating to cattle, and making an appropriation therefor."
1846157,30x30 goal: partnering state agencies: Department of Parks and Recreation.,"An act to amend Sections 71451 and 71452 of the Public Resources Code, relating to environmental protection."
1846158,School safety: mandatory notifications.,"An act to amend Sections 32210, 44014, and 48902 of the Education Code, relating to school safety."
1846159,Healing arts: expedited licensure process: gender-affirming health care and gender-affirming mental health care.,"An act to add and repeal Section 870.1 of the Business and Professions Code, relating to healing arts."
1846160,"Transactions and use taxes: Cities of Lancaster, Palmdale, and Victorville.","An act to add and repeal Chapter 3.10 (commencing with Section 7287.11), Chapter 3.11 (commencing with Section 7287.13), and Chapter 3.12 (commencing with Section 7287.15) of Part 1.7 of Division 2 of the Revenue and Taxation Code, relating to taxation, and declaring the urgency thereof, to take effect immediately."
1846163,Medi-Cal: diapers.,"An act to add Section 14132.33 to the Welfare and Institutions Code, relating to Medi-Cal."
1846164,California State University: fiscal transparency: internet website.,"An act to add Article 4.5 (commencing with Section 89765) to Chapter 6 of Part 55 of Division 8 of Title 3 of the Education Code, relating to the California State University."
1846165,Electric Vehicle Economic Opportunity Zone: County of Riverside.,"An act to add Chapter 4 (commencing with Section 15564) to Part 8.5 of Division 3 of Title 2 of the Government Code, relating to electric vehicles."
1846166,Health care coverage: qualified autism service providers.,"An act to amend Section 1374.73 of the Health and Safety Code, and to amend Section 10144.51 of the Insurance Code, relating to health care coverage."
1846169,CalWORKs: supportive services.,"An act to amend Section 11323.2 of the Welfare and Institutions Code, relating to CalWORKs."
1846170,Weights and measures: electric vehicle supply equipment.,"An act to add and repeal Section 12509.5 of the Business and Professions Code, relating to weights and measures."
1846171,Drinking water: rental property: domestic well testing.,"An act to amend Section 116681 of, and to add Section 116688 to, the Health and Safety Code, relating to drinking water."
1846172,Whistleblower protection: state and local government procedures.,"An act to amend Sections 8547.2, 8547.5, 8547.7, 8547.8, and 53087.6 of the Government Code, relating to whistleblower protection."
1846174,Sacramento Municipal Utility District: nonstock security.,"An act to amend Section 12773 of the Public Utilities Code, relating to the Municipal Utility District Act."
1846175,Public postsecondary education: student parents.,"An act to amend Section 66027.81 of, and to add Section 66027.82 to, the Education Code, relating to public postsecondary education."
1846177,Common interest developments: association governance: member election.,"An act to amend Section 5115 of the Civil Code, and to amend Section 7512 of the Corporations Code, relating to common interest developments."
1846179,Public Utilities Commission: written reports: energy.,"An act to amend Section 913.1 of the Public Utilities Code, relating to energy."
